retailer,invoice_date,region,state,product,price_per_unit,units_sold,total_sales
Foot Locker,2021-11-06,Southeast,South Carolina,Men's Street Footwear,50,278,13900
Foot Locker,2020-03-14,Northeast,New York,Men's Apparel,46,278,12788
West Gear,2021-01-19,West,California,Men's Athletic Footwear,47,278,13066
Walmart,2021-06-17,Southeast,Florida,Women's Apparel,103,218,22454
Sports Direct,2021-09-14,South,Alabama,Women's Street Footwear,36,278,10008
West Gear,2021-07-06,West,Idaho,Women's Street Footwear,34,278,9452
West Gear,2021-01-12,West,California,Men's Street Footwear,56,277,15512
Foot Locker,2020-01-21,Northeast,New York,Women's Street Footwear,36,276,9936
Walmart,2020-08-17,South,Texas,Women's Apparel,37,276,10212
West Gear,2021-07-16,South,Louisiana,Women's Apparel,103,163,16789
Sports Direct,2021-08-25,South,Alabama,Men's Street Footwear,10,700,7000
Sports Direct,2021-03-02,Southeast,North Carolina,Men's Street Footwear,28,276,7728
Sports Direct,2021-08-23,South,Alabama,Men's Apparel,25,275,6875
Sports Direct,2021-08-27,South,Alabama,Women's Street Footwear,15,575,8625
Sports Direct,2021-08-21,South,Alabama,Women's Street Footwear,15,475,7125
West Gear,2021-01-11,Midwest,Missouri,Women's Street Footwear,15,475,7125
Sports Direct,2021-11-17,South,Mississippi,Men's Athletic Footwear,20,450,9000
Sports Direct,2021-01-23,South,Mississippi,Women's Street Footwear,15,450,6750
West Gear,2021-04-03,Midwest,Wisconsin,Men's Street Footwear,20,450,9000
Foot Locker,2020-03-10,Northeast,New York,Men's Street Footwear,44,434,19096
Foot Locker,2021-01-18,Midwest,Michigan,Women's Athletic Footwear,25,275,6875
Foot Locker,2021-04-18,Midwest,Missouri,Men's Athletic Footwear,30,275,8250
Foot Locker,2021-04-18,Midwest,Missouri,Women's Street Footwear,20,275,5500
Foot Locker,2021-09-19,Midwest,Missouri,Women's Athletic Footwear,15,275,4125
Foot Locker,2021-09-19,Midwest,Missouri,Men's Apparel,25,275,6875
West Gear,2021-05-12,West,Utah,Women's Athletic Footwear,25,275,6875
West Gear,2021-10-11,West,Utah,Women's Athletic Footwear,20,275,5500
West Gear,2021-10-11,West,Utah,Men's Apparel,30,275,8250
Foot Locker,2021-03-16,South,Mississippi,Women's Athletic Footwear,20,275,5500
Walmart,2021-10-21,South,Arkansas,Women's Athletic Footwear,20,275,5500
Walmart,2021-10-21,South,Arkansas,Men's Apparel,30,275,8250
West Gear,2021-02-21,South,Arkansas,Men's Athletic Footwear,25,275,6875
West Gear,2021-03-19,South,Oklahoma,Women's Street Footwear,10,275,2750
West Gear,2021-03-19,South,Oklahoma,Women's Apparel,25,275,6875
West Gear,2021-09-19,South,Oklahoma,Women's Street Footwear,15,275,4125
Foot Locker,2021-11-13,Midwest,Kansas,Men's Athletic Footwear,15,275,4125
Foot Locker,2021-01-18,Midwest,Michigan,Women's Street Footwear,20,425,8500
West Gear,2021-02-11,Midwest,Missouri,Women's Street Footwear,15,425,6375
Foot Locker,2021-01-12,Midwest,Kansas,Women's Street Footwear,30,275,8250
Sports Direct,2021-01-09,Midwest,South Dakota,Women's Street Footwear,25,275,6875
Sports Direct,2021-02-09,Midwest,North Dakota,Women's Apparel,25,275,6875
West Gear,2021-06-11,West,Utah,Women's Street Footwear,20,425,8500
Foot Locker,2021-06-06,Midwest,Iowa,Men's Athletic Footwear,30,275,8250
Amazon,2021-04-10,Midwest,Ohio,Women's Street Footwear,20,425,8500
Foot Locker,2021-03-16,South,Mississippi,Women's Street Footwear,15,425,6375
Foot Locker,2021-09-07,Midwest,Iowa,Men's Athletic Footwear,30,275,8250
West Gear,2021-03-09,Midwest,Indiana,Women's Street Footwear,15,275,4125
Walmart,2021-09-16,South,Mississippi,Women's Street Footwear,20,425,8500
Walmart,2021-02-21,South,Arkansas,Women's Apparel,20,425,8500
Walmart,2021-10-21,South,Arkansas,Men's Athletic Footwear,20,425,8500
West Gear,2021-03-09,Midwest,Indiana,Women's Apparel,25,275,6875
West Gear,2021-09-11,Midwest,Indiana,Men's Athletic Footwear,30,275,8250
Walmart,2020-05-03,Northeast,New York,Men's Street Footwear,48,420,20160
West Gear,2021-03-16,Northeast,West Virginia,Men's Athletic Footwear,30,275,8250
Walmart,2020-04-19,Northeast,New York,Men's Street Footwear,39,408,15912
Foot Locker,2021-02-15,Northeast,Maryland,Women's Street Footwear,30,275,8250
Walmart,2020-04-27,Northeast,New York,Men's Street Footwear,46,403,18538
Foot Locker,2021-03-13,Northeast,Delaware,Women's Street Footwear,30,275,8250
West Gear,2021-03-10,West,Utah,Women's Street Footwear,20,400,8000
West Gear,2021-06-11,West,Utah,Women's Athletic Footwear,20,400,8000
Kohl's,2021-01-10,Northeast,Delaware,Women's Street Footwear,25,275,6875
West Gear,2021-10-11,West,Utah,Men's Athletic Footwear,20,400,8000
Walmart,2020-04-28,Northeast,New York,Men's Athletic Footwear,53,273,14469
West Gear,2021-01-06,West,California,Men's Street Footwear,56,273,15288
West Gear,2021-11-11,West,Utah,Men's Athletic Footwear,20,400,8000
West Gear,2021-01-18,West,California,Men's Street Footwear,62,273,16926
West Gear,2021-02-12,West,California,Men's Athletic Footwear,58,273,15834
Kohl's,2021-05-25,West,California,Men's Street Footwear,39,315,12285
Sports Direct,2021-09-24,South,Texas,Women's Street Footwear,46,273,12558
Foot Locker,2020-08-06,West,Washington,Men's Street Footwear,44,273,12012
Foot Locker,2021-06-07,Southeast,South Carolina,Men's Street Footwear,51,273,13923
Walmart,2020-08-11,South,Texas,Women's Apparel,27,272,7344
Walmart,2021-09-16,South,Mississippi,Women's Athletic Footwear,20,400,8000
Walmart,2020-09-11,South,Texas,Men's Street Footwear,31,272,8432
West Gear,2020-11-13,West,California,Men's Street Footwear,36,272,9792
Foot Locker,2020-01-27,Northeast,New York,Women's Street Footwear,27,314,8478
Sports Direct,2021-02-21,South,Mississippi,Women's Street Footwear,15,400,6000
Foot Locker,2020-03-04,Northeast,New York,Men's Street Footwear,47,400,18800
Foot Locker,2020-03-18,Northeast,New York,Women's Street Footwear,37,314,11618
Foot Locker,2020-01-25,Northeast,New York,Men's Street Footwear,40,390,15600
Sports Direct,2021-04-23,South,Tennessee,Women's Street Footwear,39,314,12246
Kohl's,2021-04-26,West,California,Men's Athletic Footwear,37,272,10064
Foot Locker,2020-01-07,Northeast,New York,Men's Street Footwear,33,388,12804
Kohl's,2021-05-19,West,California,Men's Street Footwear,40,272,10880
Foot Locker,2020-01-01,Northeast,New York,Men's Street Footwear,34,384,13056
Sports Direct,2021-09-21,South,Texas,Women's Apparel,47,272,12784
Sports Direct,2021-04-15,South,Tennessee,Men's Street Footwear,29,272,7888
Foot Locker,2021-02-07,Southeast,Georgia,Men's Street Footwear,31,376,11656
Sports Direct,2021-04-20,South,Tennessee,Women's Apparel,38,272,10336
Foot Locker,2020-01-07,Northeast,New York,Men's Street Footwear,46,313,14398
Walmart,2021-06-17,Southeast,Florida,Men's Street Footwear,50,272,13600
Sports Direct,2021-08-22,South,Alabama,Women's Athletic Footwear,20,375,7500
Foot Locker,2020-03-04,Northeast,New York,Men's Street Footwear,55,313,17215
Foot Locker,2021-02-18,Midwest,Michigan,Women's Street Footwear,20,375,7500
Walmart,2020-05-03,Northeast,New York,Men's Street Footwear,62,312,19344
West Gear,2021-08-11,West,Utah,Women's Athletic Footwear,20,375,7500
Walmart,2021-08-17,Southeast,Florida,Men's Athletic Footwear,60,272,16320
Foot Locker,2021-02-07,Southeast,Georgia,Men's Street Footwear,38,312,11856
West Gear,2021-11-11,West,Utah,Women's Athletic Footwear,20,375,7500
West Gear,2021-01-12,Southeast,Florida,Men's Street Footwear,30,272,8160
Foot Locker,2021-04-17,South,Mississippi,Women's Street Footwear,15,375,5625
Foot Locker,2021-07-23,Southeast,Virginia,Men's Street Footwear,60,272,16320
Walmart,2020-04-28,Northeast,New York,Men's Athletic Footwear,40,312,12480
Foot Locker,2021-08-24,Southeast,Virginia,Men's Street Footwear,67,272,18224
Foot Locker,2021-07-05,Southeast,South Carolina,Men's Street Footwear,63,311,19593
West Gear,2021-12-16,South,Louisiana,Men's Street Footwear,46,272,12512
West Gear,2021-11-20,South,Arkansas,Men's Athletic Footwear,15,375,5625
West Gear,2020-11-03,South,Texas,Women's Street Footwear,33,271,8943
West Gear,2021-01-23,South,Arkansas,Women's Street Footwear,15,375,5625
Foot Locker,2020-03-16,Northeast,New York,Men's Street Footwear,41,375,15375
Walmart,2020-08-26,South,Texas,Women's Street Footwear,29,374,10846
West Gear,2020-12-25,West,California,Men's Street Footwear,40,271,10840
Walmart,2020-09-01,South,Texas,Women's Street Footwear,29,374,10846
West Gear,2021-02-14,West,California,Women's Athletic Footwear,40,271,10840
Foot Locker,2020-01-31,Northeast,New York,Men's Street Footwear,33,372,12276
Sports Direct,2021-04-08,South,Tennessee,Women's Apparel,31,271,8401
Sports Direct,2021-04-22,South,Tennessee,Men's Athletic Footwear,44,271,11924
West Gear,2021-07-06,West,Idaho,Men's Athletic Footwear,40,271,10840
Foot Locker,2020-02-06,Northeast,New York,Men's Street Footwear,44,366,16104
Walmart,2020-04-19,Northeast,New York,Men's Street Footwear,56,360,20160
Foot Locker,2020-03-17,Northeast,New York,Men's Athletic Footwear,37,359,13283
Walmart,2020-04-18,Northeast,New York,Women's Apparel,48,355,17040
Foot Locker,2020-01-25,Northeast,New York,Men's Street Footwear,46,354,16284
Foot Locker,2020-03-15,Northeast,New York,Women's Apparel,47,352,16544
Foot Locker,2021-03-17,Midwest,Missouri,Women's Street Footwear,25,350,8750
Foot Locker,2021-06-18,Midwest,Missouri,Women's Athletic Footwear,25,350,8750
Foot Locker,2021-10-18,Midwest,Missouri,Men's Athletic Footwear,25,350,8750
Foot Locker,2021-11-18,Midwest,Missouri,Men's Athletic Footwear,25,350,8750
West Gear,2021-05-12,West,Utah,Women's Street Footwear,25,350,8750
West Gear,2021-09-12,West,Utah,Women's Street Footwear,10,350,3500
Amazon,2021-04-10,Midwest,Ohio,Women's Athletic Footwear,25,350,8750
Walmart,2021-10-18,South,Mississippi,Women's Athletic Footwear,25,350,8750
Sports Direct,2021-02-21,South,Mississippi,Men's Athletic Footwear,25,350,8750
Walmart,2021-03-19,South,Arkansas,Women's Street Footwear,10,350,3500
Walmart,2021-03-19,South,Arkansas,Women's Apparel,25,350,8750
Walmart,2021-09-19,South,Arkansas,Women's Street Footwear,15,350,5250
West Gear,2021-02-21,South,Oklahoma,Women's Apparel,20,350,7000
Walmart,2021-07-19,South,Arkansas,Men's Street Footwear,39,271,10569
West Gear,2021-10-21,South,Oklahoma,Men's Athletic Footwear,20,350,7000
Kohl's,2021-01-16,South,Oklahoma,Men's Athletic Footwear,25,350,8750
Foot Locker,2020-03-05,Northeast,New York,Men's Athletic Footwear,54,270,14580
Kohl's,2021-01-16,South,Oklahoma,Women's Street Footwear,15,350,5250
Walmart,2020-04-17,Northeast,New York,Men's Apparel,54,270,14580
Walmart,2020-04-20,Northeast,New York,Men's Athletic Footwear,50,270,13500
Walmart,2020-05-04,Northeast,New York,Men's Athletic Footwear,43,310,13330
Kohl's,2021-04-19,West,California,Men's Street Footwear,44,270,11880
Foot Locker,2020-03-17,Northeast,New York,Men's Athletic Footwear,53,308,16324
Sports Direct,2020-09-29,Southeast,Florida,Men's Street Footwear,56,270,15120
Sports Direct,2021-08-03,Southeast,North Carolina,Men's Street Footwear,61,308,18788
Foot Locker,2020-01-05,Northeast,New York,Men's Apparel,43,306,13158
West Gear,2021-07-16,South,Louisiana,Men's Street Footwear,86,270,23220
Foot Locker,2020-01-23,Northeast,New York,Men's Apparel,43,306,13158
Foot Locker,2021-07-05,Southeast,South Carolina,Men's Athletic Footwear,58,270,15660
Walmart,2020-04-22,Northeast,New York,Women's Athletic Footwear,34,306,10404
Foot Locker,2020-03-13,Northeast,New York,Women's Athletic Footwear,35,270,9450
Walmart,2020-05-06,Northeast,New York,Women's Athletic Footwear,41,306,12546
Walmart,2020-04-30,Northeast,New York,Women's Athletic Footwear,41,270,11070
Sports Direct,2020-07-31,South,Texas,Men's Street Footwear,20,306,6120
Sports Direct,2020-07-19,Northeast,New York,Men's Street Footwear,20,270,5400
Sports Direct,2020-08-06,South,Texas,Men's Street Footwear,23,306,7038
Sports Direct,2020-07-20,Northeast,New York,Men's Athletic Footwear,26,270,7020
Sports Direct,2020-08-07,South,Texas,Men's Athletic Footwear,29,306,8874
Walmart,2020-09-04,South,Texas,Women's Apparel,39,270,10530
Walmart,2020-10-21,South,Texas,Men's Athletic Footwear,31,306,9486
Walmart,2020-10-20,South,Texas,Men's Street Footwear,34,270,9180
